Food,Serving,Calories,Health Quotient,Portions,Carbs (g),Protein (g),Fat (g),Vegetarian,Meal Category
Charcuterie Board,129 g,595 cal,junk,1 plate,25.8,12.9,12.9,Yes,Vegetarian
Ice Cream,131 g,370 cal,junk,1 scoop,26.2,13.1,13.1,Yes,Vegetarian
Khandvi,236 g,220 cal,healthy,1 plate,47.2,23.6,23.6,Yes,"Vegetarian, Vegetarian High Protein"
Smoked Salmon,266 g,517 cal,best for you,1 fillet,0,53.2,34.6,No,"Vegetarian, Vegetarian High Protein"
Char Siu,144 g,205 cal,healthy,1 portion,28.8,14.4,14.4,Yes,Vegetarian
Sweet and Sour Pork,161 g,152 cal,healthy,1 serving,32.2,16.1,16.1,No,Non-Vegetarian
Tandoori Chicken,181 g,502 cal,junk,1 serving,0,56.1,6.5,No,"Non-Vegetarian, Non-Veg High Protein"
Sev Puri,146 g,287 cal,healthy,1 serving,29.2,14.6,14.6,Yes,Vegetarian
Teriyaki Chicken,158 g,301 cal,junk,1 serving,0,49,5.7,No,"Non-Vegetarian, Non-Veg High Protein"
Jeera Rice,239 g,418 cal,junk,1 serving,66.9,6.5,0.7,Yes,Vegetarian
Veggie Burger,267 g,283 cal,junk,1 serving,2.7,34.7,29.4,No,"Non-Vegetarian, Non-Veg High Protein"
Churros,153 g,481 cal,junk,1 serving,30.6,15.3,15.3,Yes,"Vegetarian, Vegetarian High Protein"
Malabar Biryani,243 g,512 cal,junk,1 serving,48.6,24.3,24.3,Yes,"Non-Vegetarian, Non-Veg High Protein"
Vegetable Korma,211 g,218 cal,healthy,1 serving,10.5,4.2,1.1,Yes,Vegetarian
Hawaiian Pizza,218 g,549 cal,junk,1 serving,43.6,21.8,21.8,Yes,"Non-Vegetarian, Non-Veg High Protein"
Maharashtrian Vada Pav,165 g,274 cal,healthy,1 serving,33,16.5,16.5,Yes,"Vegetarian, Vegetarian High Protein"
Quail Eggs,159 g,155 cal,healthy,1 serving,1.6,20.7,17.5,No,"Non-Vegetarian, Non-Veg High Protein"
Greek Salad,257 g,190 cal,healthy,1 serving,51.4,25.7,25.7,Yes,"Vegetarian, Vegetarian High Protein"
Tomato Basil Soup,377 g,137 cal,healthy,1 serving,75.4,37.7,37.7,Yes,"Vegetarian, Vegetarian High Protein"
Kashmiri Rogan Josh,192 g,515 cal,junk,1 serving,38.4,19.2,19.2,Yes,"Vegetarian, Vegetarian High Protein"
Beef Carpaccio,211 g,186 cal,healthy,1 serving,0,54.9,35.9,No,"Non-Vegetarian, Non-Veg High Protein"
Baingan Bharta,271 g,308 cal,junk,1 serving,54.2,27.1,27.1,Yes,"Vegetarian, Vegetarian High Protein"
Idli,174 g,283 cal,healthy,2 piece,34.8,17.4,17.4,Yes,"Vegetarian, Vegetarian High Protein"
Apple Pie,97 g,499 cal,junk,1 serving,19.4,9.7,9.7,Yes,Vegetarian
Panang Curry,162 g,492 cal,junk,1 plate,32.4,16.2,16.2,Yes,"Vegetarian, Vegetarian High Protein"
Cookies,170 g,333 cal,junk,2 piece,34,17,17,Yes,"Vegetarian, Vegetarian High Protein"
Coconut Rice,284 g,510 cal,junk,1 serving,79.5,7.7,0.9,Yes,Vegetarian
Pho,248 g,202 cal,healthy,1 serving,49.6,24.8,24.8,Yes,"Vegetarian, Vegetarian High Protein"
Quesadillas,103 g,280 cal,healthy,1 serving,20.6,10.3,10.3,Yes,Vegetarian
Lassi,194 g,188 cal,healthy,1 serving,38.8,19.4,19.4,Yes,"Vegetarian, Vegetarian High Protein"
Split Pea Soup,352 g,196 cal,healthy,1 serving,70.4,35.2,35.2,Yes,"Vegetarian, Vegetarian High Protein"
Chicken Burger,252 g,724 cal,junk,1 serving,0,78.1,9.1,No,"Non-Vegetarian, Non-Veg High Protein"
